index,name,inscription_id,price,scraped_at
28,Zaria,f9b531b304b4137dc3ae41462ec7a033df9d38ed5cacd1cdffe78a2926b61e48i0,0.018 BTC,2025-10-22T00:32:20.074246
29,Inscription,4295ff2e3b915dba3482c1ba1b130689e062cf6342569980126a617a26e6a7e2i0,0.0188 BTC,2025-10-22T00:32:20.074246
30,Inscription,79558ac03111ef9332c9e691a337af21a0330be4a16058eb899b24f93eaedd91i0,0.0192 BTC,2025-10-22T00:32:20.074246
31,Inscription,264fe7b513eea3a4721cd860749af0bcbb1fce5d95abe784bf518eca57b5f46ei0,0.0193 BTC,2025-10-22T00:32:20.074246
32,Inscription,dd2fd92dd7059cbcc368fba6c3ba821f38246dbcc35d89a64f947363fde8817fi0,0.0195 BTC,2025-10-22T00:32:20.074246
33,Bitcoin Toad,1fabf94e978b64211e4e295fc28502987cde16405a548ab09aa168191a31a0d1i0,0.0197 BTC,2025-10-22T00:32:20.074246
34,Bitcoin Toad,0eda9ba6ea472ed8761959c11d4f0127cef7fa885e524faf4826e58f4aabde9fi0,0.02 BTC,2025-10-22T00:32:20.074246
35,Castorina,409df0fa7cd0c3b4696bc16dea24871c46d281f7d4466dcd866d1f2dc539ef5ci0,0.02 BTC,2025-10-22T00:32:20.074246
36,Inscription,6405a45446090269d8f4ce319ef37dded7ce7e260d679c317800c4f2e02bb6fdi0,0.02 BTC,2025-10-22T00:32:20.074246
37,Goat,8205e5dcdc774ead67c013e1ab9214eeef02686a08999d22fa17131577f04fd3i0,0.02 BTC,2025-10-22T00:32:20.074246
38,Ordinal Tulip,b9728ade8e23ae2d68ab0b1836914e69a60bb773df85270f7adc090479c6de9di0,0.02 BTC,2025-10-22T00:32:20.074246
39,Inscription,f3dd76e59577db5b08a18dc19bfb0f804fa9445950f8d61b99bd9d774e6ed3b3i0,0.02 BTC,2025-10-22T00:32:20.074246
40,Egg,f5b47ef9bdbaaaf216341119b670ffa116e86d3b71f3544cddbd34d83eee713bi0,0.0204 BTC,2025-10-22T00:32:20.074246
41,Egg,ae49e36e7149798947f0047cb3963fd49deb4eae4f7d5d0e229909adf9f4441ei0,0.0205 BTC,2025-10-22T00:32:20.074246
42,#7290,d48418f178c131bc126b478165c20c4d03284a1b444f5dab4b61be36497a82c3i0,0.022 BTC,2025-10-22T00:32:20.074246
43,Egg,fc6b00c844baa9e6ebb615b1ba3373b2a3cbec456b28282ca9ce6121727eb06di0,0.02289 BTC,2025-10-22T00:32:20.074246
44,Inscription,e3624734826e3a15950cdc9daeb088788da76a20b86d9012bb663f968fcf2335i0,0.0229 BTC,2025-10-22T00:32:20.074246
45,Boss Logic,Unknown,0.023 BTC,2025-10-22T00:32:20.074246
46,Ordinal Tulip,ce0181136c408a92febc5444dadbe936ccff9d31c5ee47bb7e0deba2f4015556i0,0.0235 BTC,2025-10-22T00:32:20.074246
47,Inscription,e7892a627bdef39d711af4f8cc0beb1fca09640bfd0d1abec0e2f73a50722b0di0,0.0239 BTC,2025-10-22T00:32:20.074246
48,Inscription,2e0f328dc1b669ad5444d85a7fe1810210761089373b520d91976f91e6b4dbe8i0,0.024 BTC,2025-10-22T00:32:20.074246
49,#7432,90f9e6b4152e2442824e5dd11438290ab2ff731d4d3ef8dce9456070b559ef62i0,0.024 BTC,2025-10-22T00:32:20.074246
50,Inscription,a7a48d0a06d777a62ed5bc91d61d674db0a828616f8490bba164e531351d9d94i0,0.024 BTC,2025-10-22T00:32:20.074246
51,Ordinal Tulip,ae09b625df219195fc08a5307663d20b886c31b58065a1ddf70ef234206bfa3ai0,0.0245 BTC,2025-10-22T00:32:20.074246
52,ETHIOPIA,ffe07fb97fea6c590333da79f40dae9e3c12c82a4d78f39a7d0b27f068a1f3e6i0,0.0249 BTC,2025-10-22T00:32:20.074246
53,Eridania,5f816aa96c57a68d9e16b90817dacfd43d6809e2b0a6adcf251ea61269f46c76i0,0.0249975 BTC,2025-10-22T00:32:20.074246
54,Inscription,1e2e29f925f30e19d02fc239093262f6f0df8ddf8892e6287e9eeba3525b2f7ci0,0.025 BTC,2025-10-22T00:32:20.074246
55,Inscription,37368bddd1a22686499a4366565fbd760beca1e4d3d9912e7c44ec413b018bb5i0,0.025 BTC,2025-10-22T00:32:20.074246
56,Diamond 3,7abf289e74647a3101c36edcde2da9df5c2bae490ccf49fb6bfb00b58633933ci0,0.025 BTC,2025-10-22T00:32:20.074246
57,Inscription,f3a49129342a168c7a53caee091a1144847a8e6dae0b36c3e53ab0d921a7ad79i0,0.025 BTC,2025-10-22T00:32:20.074246
58,Inscription,b9accf7e2377f969822fd94df853ad8a65a8ec966c5a106150c287f771d50759i0,0.0258 BTC,2025-10-22T00:32:20.074246
59,Bitcoin Toad,73f4fb9089cda656fd06e0bbea4c2051cf6785460d592005c30bec9eef5e2f3ei0,0.0275 BTC,2025-10-22T00:32:20.074246
60,Inscription,f1ea43f8d33cfd035d8f988bbebfdd7bb92791723e78e23de1efec4d4f275e22i0,0.0275 BTC,2025-10-22T00:32:20.074246
61,Egg,681e0cdd67b9dc013165c686cacf57fe233c70c11bc1da2f1e10f4b8e9844524i0,0.0285 BTC,2025-10-22T00:32:20.074246
62,Inscription,4054adae8e026f4344e3ba62fd4e776cf55843954aea4808baf1b59521b89b62i0,0.0289 BTC,2025-10-22T00:32:20.074246
63,Inscription,4ba3324a9f0d690b192731f3ec6acf3657c0babb5b7849669b849ab78e8b93f5i0,0.029 BTC,2025-10-22T00:32:20.074246
64,Ordinal Tulip,5857264efb00c26d5c612c6d7ffe862b735b281fe30ceabc9c1ca01f0de9c984i0,0.029 BTC,2025-10-22T00:32:20.074246
65,orange pill enjoer,80263da9e97d5882f577fb919aaa83e5411187f756c6ccd46396cad9cb2b6b94i0,0.029 BTC,2025-10-22T00:32:20.074246
66,Inscription,73d28cb35a30494c3a23026df8d8277630f841a35142f02983804f5fdaa09c80i0,0.02929 BTC,2025-10-22T00:32:20.074246
67,SatoshiSneks,8ca58d8292c2bd5e73a85e13f42ba7a754ac2a2314c6d6099ad4f977c49f0cbdi0,0.03 BTC,2025-10-22T00:32:20.074246
68,Inscription,c6fbc0b7d0affea093abf1e2905eca486660653572018c1acffda0b1e737039di0,0.03 BTC,2025-10-22T00:32:20.074246
69,SatoshiSneks,dacac4b835ae8fc27ce1463673f93943c67a61315bcd94a711518e291c1da53bi0,0.03 BTC,2025-10-22T00:32:20.074246
