index,name,inscription_id,price,scraped_at
43,Egg,f5b47ef9bdbaaaf216341119b670ffa116e86d3b71f3544cddbd34d83eee713bi0,0.02040 BTC,2025-10-26T22:53:47.943134
44,Egg,ae49e36e7149798947f0047cb3963fd49deb4eae4f7d5d0e229909adf9f4441ei0,0.02050 BTC,2025-10-26T22:53:47.943134
45,#7290,d48418f178c131bc126b478165c20c4d03284a1b444f5dab4b61be36497a82c3i0,0.02200 BTC,2025-10-26T22:53:47.943134
46,Egg,fc6b00c844baa9e6ebb615b1ba3373b2a3cbec456b28282ca9ce6121727eb06di0,0.02289 BTC,2025-10-26T22:53:47.943134
47,Inscription,e3624734826e3a15950cdc9daeb088788da76a20b86d9012bb663f968fcf2335i0,0.02290 BTC,2025-10-26T22:53:47.943134
48,Boss Logic,Unknown,0.02300 BTC,2025-10-26T22:53:47.943134
49,Inscription,e7892a627bdef39d711af4f8cc0beb1fca09640bfd0d1abec0e2f73a50722b0di0,0.02390 BTC,2025-10-26T22:53:47.943134
50,Inscription,2e0f328dc1b669ad5444d85a7fe1810210761089373b520d91976f91e6b4dbe8i0,0.02400 BTC,2025-10-26T22:53:47.943134
51,#7432,90f9e6b4152e2442824e5dd11438290ab2ff731d4d3ef8dce9456070b559ef62i0,0.02400 BTC,2025-10-26T22:53:47.943134
52,Inscription,a7a48d0a06d777a62ed5bc91d61d674db0a828616f8490bba164e531351d9d94i0,0.02400 BTC,2025-10-26T22:53:47.943134
53,Ordinal Tulip,ae09b625df219195fc08a5307663d20b886c31b58065a1ddf70ef234206bfa3ai0,0.02450 BTC,2025-10-26T22:53:47.943134
54,ETHIOPIA,ffe07fb97fea6c590333da79f40dae9e3c12c82a4d78f39a7d0b27f068a1f3e6i0,0.02490 BTC,2025-10-26T22:53:47.943134
55,Eridania,5f816aa96c57a68d9e16b90817dacfd43d6809e2b0a6adcf251ea61269f46c76i0,0.02500 BTC,2025-10-26T22:53:47.943134
56,Inscription,1e2e29f925f30e19d02fc239093262f6f0df8ddf8892e6287e9eeba3525b2f7ci0,0.02500 BTC,2025-10-26T22:53:47.943134
57,Inscription,37368bddd1a22686499a4366565fbd760beca1e4d3d9912e7c44ec413b018bb5i0,0.02500 BTC,2025-10-26T22:53:47.943134
58,Diamond 3,7abf289e74647a3101c36edcde2da9df5c2bae490ccf49fb6bfb00b58633933ci0,0.02500 BTC,2025-10-26T22:53:47.943134
59,Inscription,f3a49129342a168c7a53caee091a1144847a8e6dae0b36c3e53ab0d921a7ad79i0,0.02500 BTC,2025-10-26T22:53:47.943134
60,Inscription,b9accf7e2377f969822fd94df853ad8a65a8ec966c5a106150c287f771d50759i0,0.02580 BTC,2025-10-26T22:53:47.943134
61,Inscription,f1ea43f8d33cfd035d8f988bbebfdd7bb92791723e78e23de1efec4d4f275e22i0,0.02750 BTC,2025-10-26T22:53:47.943134
62,Egg,681e0cdd67b9dc013165c686cacf57fe233c70c11bc1da2f1e10f4b8e9844524i0,0.02850 BTC,2025-10-26T22:53:47.943134
63,Inscription,4054adae8e026f4344e3ba62fd4e776cf55843954aea4808baf1b59521b89b62i0,0.02890 BTC,2025-10-26T22:53:47.943134
64,Inscription,4ba3324a9f0d690b192731f3ec6acf3657c0babb5b7849669b849ab78e8b93f5i0,0.02900 BTC,2025-10-26T22:53:47.943134
65,Ordinal Tulip,5857264efb00c26d5c612c6d7ffe862b735b281fe30ceabc9c1ca01f0de9c984i0,0.02900 BTC,2025-10-26T22:53:47.943134
66,orange pill enjoer,80263da9e97d5882f577fb919aaa83e5411187f756c6ccd46396cad9cb2b6b94i0,0.02900 BTC,2025-10-26T22:53:47.943134
67,Inscription,73d28cb35a30494c3a23026df8d8277630f841a35142f02983804f5fdaa09c80i0,0.02929 BTC,2025-10-26T22:53:47.943134
68,SatoshiSneks,8ca58d8292c2bd5e73a85e13f42ba7a754ac2a2314c6d6099ad4f977c49f0cbdi0,0.03000 BTC,2025-10-26T22:53:47.943134
69,Inscription,c6fbc0b7d0affea093abf1e2905eca486660653572018c1acffda0b1e737039di0,0.03000 BTC,2025-10-26T22:53:47.943134
